trial,x_rms,y_rms,z_rms,cork,pad,damper
1,0.008,0.025,0.008,0,0,0
2,0.009,0.024,0.008,0,0,0
3,0.007,0.021,0.007,0,0,0
4,0.008,0.024,0.009,1,0,0
5,0.008,0.023,0.008,1,0,0
6,0.008,0.023,0.007,1,0,0
7,0.01,0.028,0.009,0,1,0
8,0.008,0.029,0.007,0,1,0
9,0.009,0.031,0.008,0,1,0
10,0.008,0.025,0.009,1,1,0
11,0.009,0.024,0.01,1,1,0
12,0.007,0.022,0.008,1,1,0
13,0.009,0.022,0.007,0,0,1
14,0.008,0.022,0.007,0,0,1
15,0.008,0.02,0.002,0,0,1
16,0.01,0.03,0.008,0,1,1
17,0.01,0.03,0.007,0,1,1
18,0.009,0.029,0.006,0,1,1
19,0.009,0.025,0.008,1,0,1
20,0.01,0.024,0.008,1,0,1
21,0.009,0.022,0.007,1,0,1
22,0.009,0.025,0.009,1,1,1
23,0.01,0.025,0.008,1,1,1
24,0.009,0.023,0.007,1,1,1