trial,x,y,z,x1,x2,x3
1,0.003,0.006,0.004,-1,-1,-1
2,0.004,0.007,0.004,-1,-1,-1
3,0.003,0.007,0.004,-1,-1,-1
4,0.003,0.006,0.004,1,-1,-1
5,0.003,0.006,0.003,1,-1,-1
6,0.003,0.007,0.004,1,-1,-1
7,0.003,0.005,0.002,-1,1,-1
8,0.003,0.004,0.002,-1,1,-1
9,0.003,0.005,0.002,-1,1,-1
10,0.003,0.006,0.003,1,1,-1
11,0.003,0.006,0.003,1,1,-1
12,0.002,0.006,0.003,1,1,-1
13,0.003,0.007,0.004,-1,-1,1
14,0.003,0.007,0.003,-1,-1,1
15,0.003,0.007,0.003,-1,-1,1
16,0.004,0.006,0.002,-1,1,1
17,0.003,0.006,0.002,-1,1,1
18,0.003,0.006,0.003,-1,1,1
19,0.004,0.007,0.004,1,-1,1
20,0.003,0.007,0.004,1,-1,1
21,0.003,0.007,0.004,1,-1,1
22,0.003,0.006,0.004,1,1,1
23,0.003,0.006,0.004,1,1,1
24,0.003,0.006,0.003,1,1,1